26-03-2024 00:28:28.542 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext.log - Initializing Spring TestDispatcherServlet ''
26-03-2024 00:28:28.542 [main] INFO  o.s.t.w.s.TestDispatcherServlet.initServletBean - Initializing Servlet ''
26-03-2024 00:28:28.543 [main] INFO  o.s.t.w.s.TestDispatcherServlet.initServletBean - Completed initialization in 0 ms
26-03-2024 00:28:28.549 [main] INFO  c.t.d.s.DevicestatusServiceTest.logStarted - Started DevicestatusServiceTest in 0.36 seconds (process running for 2.702)
26-03-2024 00:28:28.571 [main] INFO  c.t.d.service.DevicestatusService.getRoaming - El usuario está en roaming en Spain
26-03-2024 00:28:28.575 [main] INFO  c.t.d.service.DevicestatusService.getRoaming - No se ha encontrado el cliente con MSISDN, no se puede devolver el estado de roaming: +34623456701
26-03-2024 00:30:55.942 [background-preinit] INFO  o.h.validator.internal.util.Version.<clinit> - HV000001: Hibernate Validator 8.0.1.Final
26-03-2024 00:30:55.952 [main] INFO  c.t.d.DevicestatusApplication.logStarting - Starting DevicestatusApplication using Java 17.0.10 with PID 532396 (/home/alejandro/TFM/devicestatus/target/classes started by alejandro in /home/alejandro/TFM/devicestatus)
26-03-2024 00:30:55.952 [main] INFO  c.t.d.DevicestatusApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
26-03-2024 00:30:56.455 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.multipleStoresDetected - Multiple Spring Data modules found, entering strict repository configuration mode
26-03-2024 00:30:56.456 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
26-03-2024 00:30:56.520 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 61 ms. Found 1 MongoDB repository interface.
26-03-2024 00:30:56.528 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.multipleStoresDetected - Multiple Spring Data modules found, entering strict repository configuration mode
26-03-2024 00:30:56.529 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
26-03-2024 00:30:56.536 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport.isStrictRepositoryCandidate - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.tfm.devicestatus.repository.DevicestatusRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
26-03-2024 00:30:56.536 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 3 ms. Found 0 Redis repository interfaces.
26-03-2024 00:30:56.771 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port 8084 (http)
26-03-2024 00:30:56.776 [main] INFO  o.a.coyote.http11.Http11NioProtocol.log - Initializing ProtocolHandler ["http-nio-0.0.0.0-8084"]
26-03-2024 00:30:56.778 [main] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
